,name,dim1,dim2,type
0,0,0.72463490673004,-0.000981630463160728,row
1,1,0.6595339868005637,-0.009829622288930664,row
2,2,0.6059577999241477,0.0008607435764933729,row
3,3,0.5564639817974603,0.05014935723148034,row
4,4,0.61744476038995,0.04559344382173032,row
5,5,0.3065337779353655,0.030864379622918867,row
6,6,0.22727303445215205,-0.03298226139844158,row
7,7,0.09114790555056312,-0.05319170832130814,row
8,8,0.0013623895324662242,-0.09783135308337475,row
9,9,-3.307564321475303e-06,-0.08360652062025126,row
10,10,-0.05805964328710208,-0.08039466143529386,row
11,11,-0.045844282592704295,-0.0071922790217123075,row
12,12,-0.04272039516103196,-0.04678398083598014,row
13,13,-0.05642388018223478,-0.0567743053483754,row
14,14,-0.05027308065669051,-0.013544389618510932,row
15,15,-0.059434910148527344,-0.0019377098310171775,row
16,16,-0.08908312451622054,-0.029592977739262723,row
17,17,-0.05593918678757091,0.007676905938985726,row
18,18,-0.06794619866619177,0.015994457346309474,row
19,19,-0.04198765536034207,0.04937209323372109,row
20,20,-0.0724418208751387,0.08542186987350286,row
21,21,-0.07719600142746562,0.05871696612375707,row
22,22,-0.0546689802699803,0.09715969391036382,row
23,23,-0.03904794061409711,0.12595071155162127,row
24,Friday,0.02102373405912522,-0.04323943256784868,column
25,Monday,-0.15005497371996282,0.006639322352483698,column
26,Saturday,1.0679030852078895,-0.004997772550043009,column
27,Sunday,0.06629855930540854,0.3413267822137001,column
28,Thursday,0.0015141702135066867,-0.011421103429297162,column
29,Tuesday,-0.017075193601249948,0.010804784847553373,column
30,Wednesday,0.0009274799642592577,-0.008225491483582058,column
